pincombination,date,Split,Frequency,Zreal,Zimag,Zmod,Zphase,rh,Replicate,run,Path,TCN
9-12,021119,B,158578.1,3703.443,-745542.1,745551.3,-89.71539,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,125953.1,1405.049,-946182.8,946183.9,-89.91492,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,100078.1,4973.476,-1191311,1191322,-89.7608,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,79453.13,10467.23,-1498605,1498642,-89.59982,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,63140.62,16571.21,-1878857,1878930,-89.49467,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,50203.12,27297.02,-2356962,2357120,-89.33646,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,39890.62,31494.73,-2963513,2963680,-89.39111,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,31640.63,23760.99,-3733857,3733932,-89.63539,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,25171.88,32786.05,-4683892,4684006,-89.59895,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,20015.62,88712.57,-5913110,5913776,-89.14047,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,15890.62,12174.98,-7349536,7349546,-89.90508,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,12609.37,152936.6,-9313960,9315216,-89.05928,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,10078.13,129060.1,-11653360,11654070,-89.36548,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,8015.625,256666.9,-14648700,14650950,-88.99619,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,6328.125,215915.1,-18532010,18533270,-89.33248,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,5015.625,630167.8,-23297560,23306080,-88.45061,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,3984.375,759567.4,-29167840,29177730,-88.50829,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
